ID	Label	Standard Term	Parent Assay	Measurand	Data Transformation	Value Specification	Measurement Units	Description
ID	LABEL	A CEBS:A1	C %	C ('has specified input' some %) and (realizes some ('analyte role' and ('inheres in' some %)))	C 'has part' some %	C 'has specified output' some %	C 'has specified output' some ('has measurement unit label' value '%')
			subclass-of|equivalent-to 'assay'	subclass-of|equivalent-to 'material entity'	subclass-of|equivalent-to 'data transformation'	subclass-of|equivalent-to 'value specification'	instance-of 'measurement unit label'	
CEBS:X1	creatine kinase activity assay	Creatine kinase	enzyme activity assay	creatine kinase		concentration value specification	IU/L	An activity assay that measures the activity of creatine kinase in a sample.
CEBS:X2	creatinine concentration assay	Creatinine	analyte assay	creatinine		concentration value specification	mg/dL	An analyte assay that measures the concentration of creatinine in a sample.
CEBS:X3	urea nitrogen concentration assay	Urea nitrogen	analyte assay	urea nitrogen		concentration value specification	mg/dL	An analyte assay that measures the concentration of urea nitrogen in a sample.
CEBS:X4	white blood cell count assay	White blood cell count	hematology assay	leukocyte		quantity value specification	10^3/uL	A hematology assay that measures the number of white blood cells in a volume of sample.
CEBS:X5	mean cell volume assay	Mean cell volume	hematology assay	erythrocyte	averaging data transformation	volume value specification	fL	A hematology assay that measures the average volume of red blood cells in a sample.
CEBS:X6	alkaline phosphatase activity assay	Alkaline phosphatase	enzyme activity assay	alkaline phosphatase		concentration value specification	IU/L	An activity assay that measures the activity of alkaline phosphatase in a sample.
CEBS:X7	cholesterol concentration assay	Cholesterol	analyte assay	cholesterol		concentration value specification	mg/dL	An analyte assay that measures the concentration of cholesterol in a sample.
CEBS:X8	total protein concentration assay	Protein, total	analyte assay	protein		concentration value specification	g/dL	An analyte assay that measures the concentration of total protein in a sample.
CEBS:X9	sorbitol dehydrogenase activity assay	Sorbitol dehydrogenase	enzyme activity assay	sorbitol dehydrogenase		concentration value specification	IU/L	An activity assay that measures the activity of sorbitol dehydrogenase in a sample.
CEBS:X10	triglyceride concentration assay	Triglyceride	analyte assay	triglyceride		concentration value specification	mg/dL	An analyte assay that measures the concentration of triglyceride in a sample.
CEBS:X11	basophil count assay	Basophil count	hematology assay	basophil		quantity value specification	10^3/uL	A hematology assay that measures the number of basophil cells in a volume of sample.
CEBS:X12	eosinophil count assay	Eosinophil count	hematology assay	eosinophil		quantity value specification	10^3/uL	A hematology assay that measures the number of eosinophil cells in a volume of sample.
CEBS:X13	erythrocyte count assay	Erythrocyte count	hematology assay	erythrocyte		quantity value specification	10^6/uL	A hematology assay that measures the number of erythrocyte cells in a volume of sample.
CEBS:X14	hemoglobin concentration assay	Hemoglobin	hematology assay	hemoglobin		concentration value specification	g/dL	A hematology assay that measures the concentration of hemoglobin in a sample.
CEBS:X15	lymphocyte count assay	Lymphocyte count	hematology assay	lymphocyte		quantity value specification	10^3/uL	A hematology assay that measures the number of lymphocyte cells in a volume of sample.
